error_type,severity,injection_step,obs_step,propagation_rate,survival_score
omission,2,search,filter,0.6611111111111111,0.17338111111111112
omission,2,search,summarize,0.7666666666666667,0.16475055555555557
omission,2,search,compose,0.6944444444444444,0.14021166666666665
omission,2,search,verify,0.5166666666666667,0.09441500000000001
omission,2,filter,search,,
omission,2,filter,filter,0.6277777777777778,0.31539666666666666
omission,2,filter,summarize,0.6277777777777778,0.273845
omission,2,filter,compose,0.6166666666666667,0.23490499999999997
omission,2,filter,verify,0.3611111111111111,0.1291711111111111
omission,2,summarize,search,,
omission,2,summarize,filter,,
omission,2,summarize,summarize,0.6333333333333333,0.17853222222222223
omission,2,summarize,compose,0.5944444444444444,0.14641888888888888
omission,2,summarize,verify,0.4,0.12192444444444445
omission,2,compose,search,,
omission,2,compose,filter,,
omission,2,compose,summarize,,
omission,2,compose,compose,0.25217391304347825,0.12649826086956523
omission,2,compose,verify,0.2608695652173913,0.09750173913043478
omission,3,search,search,0.8333333333333334,0.1168
omission,3,search,filter,0.75,0.08637333333333333
omission,3,search,summarize,0.7888888888888889,0.08051277777777778
omission,3,search,compose,0.7833333333333333,0.07486666666666666
omission,3,search,verify,0.7,0.07303277777777778
omission,3,filter,search,,
omission,3,filter,filter,0.4166666666666667,0.1272222222222222
omission,3,filter,summarize,0.4777777777777778,0.09843777777777779
omission,3,filter,compose,0.4666666666666667,0.08923222222222221
omission,3,filter,verify,0.5166666666666667,0.10150333333333332
omission,3,summarize,search,,
omission,3,summarize,filter,,
omission,3,summarize,summarize,0.5277777777777778,0.08269722222222223
omission,3,summarize,compose,0.5444444444444444,0.07906111111111111
omission,3,summarize,verify,0.6333333333333333,0.11920555555555556
omission,3,compose,search,,
omission,3,compose,filter,,
omission,3,compose,summarize,,
omission,3,compose,compose,0.23008849557522124,0.10457787610619469
omission,3,compose,verify,0.3274336283185841,0.09915840707964602
omission,1,search,search,0.6,0.2588533333333333
omission,1,search,filter,0.45,0.1861272222222222
omission,1,search,summarize,0.5388888888888889,0.18428999999999998
omission,1,search,compose,0.4888888888888889,0.15803555555555557
omission,1,search,verify,0.3,0.09179555555555555
omission,1,filter,search,,
omission,1,filter,filter,0.47435897435897434,0.26253205128205126
omission,1,filter,summarize,0.5256410256410257,0.24045128205128202
omission,1,filter,compose,0.4807692307692308,0.18502948717948717
omission,1,filter,verify,0.2564102564102564,0.08542371794871795
omission,1,summarize,search,,
omission,1,summarize,filter,,
omission,1,summarize,summarize,0.3464052287581699,0.15004117647058823
omission,1,summarize,compose,0.32679738562091504,0.11181437908496733
omission,1,summarize,verify,0.2222222222222222,0.10098104575163398
omission,1,compose,search,,
omission,1,compose,filter,,
omission,1,compose,summarize,,
omission,1,compose,compose,0.0,0.0
omission,1,compose,verify,0.0,0.0
